,flags,time/s,control/V,Ewe/V,I/mA,(Q-Qo)/C,I Range,overvoltage,irfree
85,22,3746.505105355245,0.105941296,0.105765715,0.14420746157859998,0.0014293197,40,7.210373078929999e-05,0.1056936115106429
86,22,3746.8177053473482,0.10719148,0.107012205,0.14562850949529405,0.0014749584,40,7.281425474764702e-05,0.1069393905711305
87,22,3747.1301053394563,0.10844118,0.10825771,0.14514623038840302,0.001520719,40,7.25731151942015e-05,0.1081851378184911
88,22,3747.442705331574,0.10969167,0.1095142,0.14593361454942488,0.0015665411,40,7.296680727471244e-05,0.10944123239001761
89,22,3747.7552053236723,0.11094156,0.11076291,0.14558103974817627,0.0016124505,40,7.279051987408813e-05,0.11069011853488207
90,22,3748.0677053157706,0.11219151,0.111988574,0.1476435914404961,0.0016585974,40,7.382179572024806e-05,0.11191475247071347
91,22,3748.3803053078736,0.11344203,0.11323795,0.1477588241610106,0.0017050977,40,7.38794120805053e-05,0.11316406781349017
92,22,3748.692805299979,0.11469202,0.11447943,0.14871876314256904,0.0017517856,40,7.435938157128452e-05,0.11440507063828421
93,22,3749.005305292085,0.11594191,0.11574134,0.1479296851207499,0.0017984444,40,7.396484256037494e-05,0.1156673774635767
94,22,3749.3179052842024,0.11719238,0.1169946,0.14961177658865177,0.001845294,40,7.480588829432589e-05,0.11691979112947072
95,22,3749.630305276296,0.1184421,0.118238606,0.1486410892585619,0.0018922003,40,7.432054462928094e-05,0.11816428501424295
96,22,3749.942905268399,0.119692266,0.11949881,0.14959953598121845,0.0019391563,40,7.479976799060922e-05,0.1194240118942065
97,22,3750.255505260502,0.12094276,0.120735034,0.14933458181196957,0.0019862258,40,7.466729090598479e-05,0.12066036705567453
98,22,3750.5679052526248,0.12219246,0.1219874,0.15078445821733544,0.002033415,40,7.539222910866772e-05,0.12191201021000876
99,22,3750.8805052447133,0.12344271,0.12325256,0.15013245777366357,0.0020807753,40,7.506622888683179e-05,0.12317749694965244
100,22,3751.1931052368163,0.12469312,0.124499775,0.15102959670041205,0.0021282188,40,7.551479835020602e-05,0.12442426067095293
101,22,3751.5055052289244,0.12594283,0.12575841,0.15107016459055056,0.0021757432,40,7.553508229527528e-05,0.1256828744178268
102,22,3751.8181052210275,0.1271932,0.12699777,0.15262788011472717,0.0022236218,40,7.631394005736359e-05,0.1269214549388794
103,22,3752.130705213145,0.12844346,0.1282433,0.1520280065472681,0.0022716385,40,7.601400327363406e-05,0.12816728333521207
104,22,3752.4431052052387,0.12969318,0.12949207,0.15323936924264406,0.0023196817,40,7.661968462132203e-05,0.1294154545665536
105,22,3752.7557051973417,0.13094369,0.13074961,0.15338604209415357,0.0023679947,40,7.66930210470768e-05,0.13067292002559905
106,22,3753.0682051894546,0.13219342,0.13200273,0.15453474382429044,0.0024164915,40,7.726737191214522e-05,0.1319254588253306
107,22,3753.3807051815675,0.13344355,0.13324524,0.15365448205140497,0.0024649992,40,7.682724102570249e-05,0.13316841738120483
108,22,3753.693305173656,0.13469402,0.13449691,0.15462970939729326,0.0025135688,40,7.731485469864663e-05,0.1344195975054927
109,22,3754.0058051657616,0.13594398,0.13573687,0.1540932034920608,0.0025621608,40,7.70466017460304e-05,0.13565982118370776
110,22,3754.318305157867,0.13719389,0.13698041,0.15555681499589458,0.002610908,40,7.777840749794729e-05,0.136902635983066
111,22,3754.63090514997,0.13844441,0.1382197,0.15520664442456145,0.0026598503,40,7.760332221228072e-05,0.1381420959413604
112,22,3754.943405142076,0.13969444,0.1394881,0.15595872691368548,0.002708835,40,7.797936345684274e-05,0.13941012164209735
113,22,3755.255905134196,0.14094426,0.14074025,0.15558375597794705,0.0027578883,40,7.779187798897352e-05,0.14066245370268424
114,22,3755.5685051262844,0.14219475,0.1420013,0.15732853462710694,0.00280716,40,7.866426731355347e-05,0.1419226367828726
115,22,3755.8809051183925,0.14344448,0.14325383,0.15694008165735296,0.0028565973,40,7.847004082867648e-05,0.14317536301466754
116,22,3756.1935051104956,0.14469466,0.1445068,0.15719318821260764,0.002906088,40,7.859659410630382e-05,0.1444282006003746
117,22,3756.5061051025987,0.14594513,0.14575244,0.15618078288096804,0.0029554605,40,7.809039144048402e-05,0.1456743544718789
118,22,3756.818505094707,0.14719482,0.14700162,0.15694831902702688,0.0030047907,40,7.847415951351344e-05,0.14692314994784733
119,22,3757.13110508681,0.14844516,0.14824036,0.15673683769267643,0.0030542111,40,7.836841884633822e-05,0.14816198921855905
120,22,3757.443705078913,0.14969547,0.14950457,0.15813307449484074,0.0031037985,40,7.906653724742037e-05,0.149425505615844
121,22,3757.756105071021,0.1509452,0.15074342,0.15727193679844292,0.0031534943,40,7.863596839922146e-05,0.15066478892402632
122,22,3758.068705063124,0.15219568,0.15198635,0.15812921586328588,0.0032032088,40,7.906460793164293e-05,0.15190728104083392
123,22,3758.381305055227,0.15344585,0.1532337,0.15796194860968726,0.0032530103,40,7.898097430484364e-05,0.15315472597683652
124,22,3758.6937050473352,0.15469554,0.15447456,0.15897718451842335,0.0033029628,40,7.948859225921168e-05,0.15439506785381624
125,22,3759.0063050394383,0.15594606,0.15573289,0.15802387962285397,0.00335294,40,7.901193981142698e-05,0.15565387306327846
126,22,3759.318805031544,0.15719587,0.15696958,0.15976632531080215,0.0034030708,40,7.988316265540108e-05,0.1568896939113955
127,22,3759.6313050236495,0.15844591,0.15823403,0.15984778495388552,0.003453475,40,7.992389247694276e-05,0.1581541061158391
128,22,3759.943905015767,0.1596964,0.15948373,0.16167917447217972,0.0035041713,40,8.083958723608986e-05,0.15940289120576318
129,22,3760.256405007858,0.16094641,0.16074213,0.16114662903030297,0.0035551025,40,8.057331451515149e-05,0.16066156054130454
130,22,3760.5689049999637,0.16219626,0.16199784,0.1617920857224876,0.0036060354,40,8.08960428612438e-05,0.1619169437656028
131,22,3760.8815049920668,0.16344678,0.16324738,0.16033881660433358,0.0036568407,40,8.016940830216679e-05,0.16316720727207198
